Sample	Method	Chrom    edit_dist  norm_edit_dist  pct_pairs_recovered  pct_pairs_correct  switch_err_count  switch_err_rate  ref_len     patched_len  pct_coverage  raw_bag_dist  norm_bag_dist  scaled_bag_dist  norm_scaled_bag_dist	pct_assembly_localized
NA12878	GPatch	chr1     23         0.044061        0.925144             0.964000           1                 0.002000         248325669   248769545    1.001787      443876        0.001784       0                0.000000	-1
NA12878	GPatch	chr2     4          0.004145        0.992739             0.996875           0                 0.000000         242964926   243556660    1.002435      591734        0.002430       0                0.000000	-1
NA12878	GPatch	chr3     6          0.006667        0.986652             0.993281           0                 0.000000         201208137   201859987    1.003240      651850        0.003229       0                0.000000	-1
NA12878	GPatch	chr4     16         0.022923        0.958393             0.980910           0                 0.000000         193645505   194140086    1.002554      494581        0.002548       0                0.000000	-1
NA12878	GPatch	chr5     27         0.025023        0.959184             0.983825           0                 0.000000         182311240   182977163    1.003653      665923        0.003639       0                0.000000	-1
NA12878	GPatch	chr6     1          0.001543        0.996909             0.998452           0                 0.000000         172255814   172697260    1.002563      441446        0.002556       0                0.000000	-1
NA12878	GPatch	chr7     4          0.011869        0.976190             0.987952           0                 0.000000         160607215   160798570    1.001191      191355        0.001190       0                0.000000	-1
NA12878	GPatch	chr8     2          0.002809        0.994374             0.997179           0                 0.000000         146224291   146646948    1.002890      422657        0.002882       0                0.000000	-1
NA12878	GPatch	chr9     27         0.030963        0.964409             0.995261           0                 0.000000         150607866   151277463    1.004446      669597        0.004426       0                0.000000	-1
NA12878	GPatch	chr10    0          0.000000        1.000000             1.000000           0                 0.000000         134909775   135107042    1.001462      197267        0.001460       0                0.000000	-1
NA12878	GPatch	chr11    21         0.074205        0.861702             0.931034           0                 0.000000         135150854   135389744    1.001768      238890        0.001764       0                0.000000	-1
NA12878	GPatch	chr12    16         0.028571        0.953488             0.981584           0                 0.000000         133132090   133518739    1.002904      386649        0.002896       0                0.000000	-1
NA12878	GPatch	chr13    11         0.069620        0.904459             0.972603           0                 0.000000         113628216   113715313    1.000767      87097         0.000766       0                0.000000	-1
NA12878	GPatch	chr14    16         0.049689        0.931464             0.980328           0                 0.000000         101129989   101277146    1.001455      147157        0.001453       0                0.000000	-1
NA12878	GPatch	chr15    23         0.125000        0.857923             0.981250           0                 0.000000         99899357    100047882    1.001487      148525        0.001485       0                0.000000	-1
NA12878	GPatch	chr16    6          0.029851        0.940000             0.969072           0                 0.000000         96322547    96475852     1.001592      153305        0.001589       0                0.000000	-1
NA12878	GPatch	chr17    2          0.004484        0.991011             0.995485           0                 0.000000         84202237    84543785     1.004056      341548        0.004040       0                0.000000	-1
NA12878	GPatch	chr18    13         0.054622        0.924051             0.977679           0                 0.000000         80566355    80700843     1.001669      134488        0.001667       0                0.000000	-1
NA12878	GPatch	chr19    6          0.040268        0.925676             0.964789           0                 0.000000         61639766    61740457     1.001634      100691        0.001631       0                0.000000	-1
NA12878	GPatch	chr20    0          0.000000        1.000000             1.000000           0                 0.000000         66261710    66381767     1.001812      120057        0.001809       0                0.000000	-1
NA12878	GPatch	chr21    1          0.009346        0.981132             0.990476           0                 0.000000         45180637    45221381     1.000902      40744         0.000901       0                0.000000	-1
NA12878	GPatch	chr22    10         0.042017        0.932489             0.973568           0                 0.000000         51435658    51553972     1.002300      118314        0.002295       0                0.000000	-1
NA12878	GPatch	chrX     8          0.015873        0.968191             0.979879           1                 0.002012         154126113   154447384    1.002084      321271        0.002080       0                0.000000	-1
NA12878	GPatch	chrY     105        0.263158        0.663317             0.901024           0                 0.000000         62416369    62777923     1.005793      361554        0.005759       0                0.000000	-1
NA12878	GPatch	chrM     0          0.000000        1.000000             1.000000           0                 0.000000         9433        16569        1.756493      7136          0.430684       0                0.000000	-1
NA12878	GPatch	All  348        0.031605        0.952940             0.983744           2                 0.000188         3118161769  3125639481   1.002398      7477712       0.002392       0                0.000000	0.9983
HG002	GPatch	chr1     12         0.214286        0.672727             0.860465           0                 0.000000         248303033   248469522    1.000671      166489        0.000670       0                0.000000	-1
HG002	GPatch	chr2     0          0.000000        1.000000             1.000000           0                 0.000000         242682604   242702596    1.000082      19992         0.000082       0                0.000000	-1
HG002	GPatch	chr3     0          0.000000        1.000000             1.000000           0                 0.000000         201133763   201195939    1.000309      62176         0.000309       0                0.000000	-1
HG002	GPatch	chr4     0          0.000000        1.000000             1.000000           0                 0.000000         193584405   193633846    1.000255      49441         0.000255       0                0.000000	-1
HG002	GPatch	chr5     0          0.000000        1.000000             1.000000           0                 0.000000         182070823   182074179    1.000018      3356          0.000018       0                0.000000	-1
HG002	GPatch	chr6     0          0.000000        1.000000             1.000000           0                 0.000000         172073104   172085976    1.000075      12872         0.000075       0                0.000000	-1
HG002	GPatch	chr7     1          0.020000        0.979592             1.000000           0                 0.000000         160456980   160553192    1.000600      96212         0.000599       0                0.000000	-1
HG002	GPatch	chr8     1          0.030303        0.937500             0.967742           0                 0.000000         146373631   146460320    1.000592      86689         0.000592       0                0.000000	-1
HG002	GPatch	chr9     3          0.073171        0.875000             0.945946           0                 0.000000         150795486   150807489    1.000080      12450         0.000083       447              0.000003	-1
HG002	GPatch	chr10    0          0.000000        1.000000             1.000000           0                 0.000000         134700637   134726850    1.000195      26213         0.000195       0                0.000000	-1
HG002	GPatch	chr11    1          0.037037        0.923077             0.960000           0                 0.000000         135004585   135065845    1.000454      61260         0.000454       0                0.000000	-1
HG002	GPatch	chr12    0          0.000000        1.000000             1.000000           0                 0.000000         133320220   133399087    1.000592      78867         0.000591       0                0.000000	-1
