ref_chrom	ref_start	ref_end	ref_contig	ref_length	mapped_chrom	mapped_start	mapped_end	mapped_length	is_mapped	is_mapped_correctly	is_correct_orientation	is_correct_order	mapping_quality
chr1	0	17968	chr1_0	17968	chr1	9316	27284	17968	True	False	True	True	60
chr1	17968	125019	chr1_1	107051	chr1	36576	143627	107051	True	False	True	True	60
chr1	125019	143860	chr1_2	18841	chr1	146555	165396	18841	True	False	True	True	60
chr1	143860	165762	chr1_3	21902	.	.	.	.	False	False	False	False	60
chr1	165762	410860	chr1_4	245098	chr1	193034	438132	245098	True	False	True	True	60
chr1	410860	120447649	chr1_5	120036789	chr1	438132	120474921	120036789	True	False	True	True	60
chr1	120447649	120484336	chr1_6	36687	chr1	120474921	120511608	36687	True	False	True	True	60
chr1	120484336	120515279	chr1_7	30943	chr1	120511608	120542551	30943	True	False	True	True	60
chr1	120515279	120527932	chr1_8	12653	chr1	120542551	120555204	12653	True	False	True	True	60
chr1	120527932	120557942	chr1_9	30010	chr1	120561556	120591566	30010	True	False	True	True	60
chr1	120557942	135308340	chr1_10	14750398	chr1	120595179	135345577	14750398	True	False	True	True	60
chr1	135308340	135375263	chr1_11	66923	chr1	135345577	135412500	66923	True	False	True	True	18
chr1	135375263	135470029	chr1_12	94766	chr1	135412500	135507266	94766	True	False	True	True	18
chr1	135470029	135488886	chr1_13	18857	.	.	.	.	False	False	False	False	5
chr1	135488886	135515398	chr1_14	26512	chr1	135537424	135563936	26512	True	False	True	True	18
chr1	135515398	135543348	chr1_15	27950	chr1	135563936	135591886	27950	True	False	True	True	19
chr1	135543348	135824951	chr1_16	281603	chr1	135609513	135891116	281603	True	False	True	True	27
chr1	135824951	136019122	chr1_17	194171	chr1	135891116	136085287	194171	True	False	True	True	21
chr1	136019122	136050309	chr1_18	31187	chr1	136085287	136116474	31187	True	False	True	True	12
chr1	136050309	136107645	chr1_19	57336	.	.	.	.	False	False	False	False	1
chr1	136107645	136147438	chr1_20	39793	chr1	136165680	136205473	39793	True	False	True	True	15
chr1	136147438	137454943	chr1_21	1307505	chr1	136205473	137512978	1307505	True	False	True	True	46
chr1	137454943	137490224	chr1_22	35281	chr1	137512978	137548259	35281	True	False	True	True	19
chr1	137490224	137511817	chr1_23	21593	chr1	137549024	137570617	21593	True	False	True	True	23
chr1	137511817	137602075	chr1_24	90258	.	.	.	.	False	False	False	False	1
chr1	137602075	137625663	chr1_25	23588	.	.	.	.	False	False	False	False	0
chr1	137625663	137868350	chr1_26	242687	.	.	.	.	False	False	False	False	6
chr1	137868350	137889459	chr1_27	21109	.	.	.	.	False	False	False	False	0
chr1	137889459	137942495	chr1_28	53036	.	.	.	.	False	False	False	False	1
chr1	137942495	138315928	chr1_29	373433	chr1	138008088	138381521	373433	True	False	True	True	23
chr1	138315928	138345315	chr1_30	29387	.	.	.	.	False	False	False	False	1
chr1	138345315	138363329	chr1_31	18014	.	.	.	.	False	False	False	False	1
chr1	138363329	138408179	chr1_32	44850	chr1	138445152	138490002	44850	True	False	True	True	21
chr1	138408179	138536063	chr1_33	127884	chr1	138490002	138617886	127884	True	False	True	True	30
chr1	138536063	138669447	chr1_34	133384	chr1	138626171	138759555	133384	True	False	True	True	15
chr1	138669447	138899084	chr1_35	229637	chr1	138781508	139011145	229637	True	False	True	True	18
chr1	138899084	138913649	chr1_36	14565	.	.	.	.	False	False	False	False	1
chr1	138913649	138938983	chr1_37	25334	.	.	.	.	False	False	False	False	4
chr1	138938983	138967447	chr1_38	28464	chr1	139068921	139097385	28464	True	False	True	True	20
chr1	138967447	139570339	chr1_39	602892	chr1	139121486	139724378	602892	True	False	True	True	24
chr1	139570339	139599628	chr1_40	29289	chr1	139724378	139753667	29289	True	False	True	True	35
chr1	139599628	139617397	chr1_41	17769	chr1	139753667	139771436	17769	True	False	True	True	22
chr1	139617397	139718219	chr1_42	100822	chr1	139775919	139876741	100822	True	False	True	True	31
chr1	139718219	226072295	chr1_43	86354076	chr1	139876741	226230817	86354076	True	False	True	True	60
chr1	226072295	226667076	chr1_44	594781	chr1	226230817	226825598	594781	True	False	True	True	60
chr1	226667076	226676213	chr1_45	9137	chr1	226825598	226834735	9137	True	False	True	True	60
chr1	226676213	226716015	chr1_46	39802	chr1	226834735	226874537	39802	True	False	True	True	60
chr1	226716015	226740461	chr1_47	24446	chr1	226874537	226898983	24446	True	False	True	True	60
chr1	226740461	226773432	chr1_48	32971	chr1	226906089	226939060	32971	True	False	True	True	60
chr1	226773432	226794280	chr1_49	20848	chr1	226939921	226960769	20848	True	False	True	True	60
chr1	226794280	227008544	chr1_50	214264	chr1	226960769	227175033	214264	True	False	True	True	60
chr1	227008544	235342490	chr1_51	8333946	chr1	227175033	235508979	8333946	True	False	True	True	60
chr1	235342490	235384763	chr1_52	42273	chr1	235508979	235551252	42273	True	False	True	True	60
chr1	235384763	235424057	chr1_53	39294	chr1	235551252	235590546	39294	True	False	True	True	60
chr1	235424057	235631673	chr1_54	207616	chr1	235590546	235798162	207616	True	False	True	True	60
chr1	235631673	248303033	chr1_55	12671360	chr1	235798162	248469522	12671360	True	False	True	True	60
chr2	0	34646	chr2_0	34646	chr2	0	34646	34646	True	True	True	True	60
chr2	34646	455381	chr2_1	420735	chr2	34646	455381	420735	True	True	True	True	60
chr2	455381	3485101	chr2_2	3029720	chr2	455381	3485101	3029720	True	True	True	True	60
chr2	3485101	3548579	chr2_3	63478	chr2	3485101	3548579	63478	True	True	True	True	60
chr2	3548579	3665345	chr2_4	116766	chr2	3548579	3665345	116766	True	True	True	True	60
chr2	3665345	3695804	chr2_5	30459	chr2	3676146	3706605	30459	True	False	True	True	60
chr2	3695804	3704479	chr2_6	8675	chr2	3713273	3721948	8675	True	False	True	True	60
chr2	3704479	89861968	chr2_7	86157489	chr2	3721948	89879437	86157489	True	False	True	True	60
chr2	89861968	134566017	chr2_8	44704049	chr2	89879437	134583486	44704049	True	False	True	True	60
