Chrom	edit_dist	norm_edit_dist	pct_pairs_recovered	pct_pairs_correct	switch_err_count	switch_err_rate
chr1	23	0.044061	0.925144	0.964000	1	0.002000
chr2	4	0.004145	0.992739	0.996875	0	0.000000
chr3	6	0.006667	0.986652	0.993281	0	0.000000
chr4	16	0.022923	0.958393	0.980910	0	0.000000
chr5	27	0.025023	0.959184	0.983825	0	0.000000
chr6	1	0.001543	0.996909	0.998452	0	0.000000
chr7	4	0.011869	0.976190	0.987952	0	0.000000
chr8	2	0.002809	0.994374	0.997179	0	0.000000
chr9	27	0.030963	0.964409	0.995261	0	0.000000
chr10	0	0.000000	1.000000	1.000000	0	0.000000
chr11	21	0.074205	0.861702	0.931034	0	0.000000
chr12	16	0.028571	0.953488	0.981584	0	0.000000
chr13	11	0.069620	0.904459	0.972603	0	0.000000
chr14	16	0.049689	0.931464	0.980328	0	0.000000
chr15	23	0.125000	0.857923	0.981250	0	0.000000
chr16	6	0.029851	0.940000	0.969072	0	0.000000
chr17	2	0.004484	0.991011	0.995485	0	0.000000
chr18	13	0.054622	0.924051	0.977679	0	0.000000
chr19	6	0.040268	0.925676	0.964789	0	0.000000
chr20	0	0.000000	1.000000	1.000000	0	0.000000
chr21	1	0.009346	0.981132	0.990476	0	0.000000
chr22	10	0.042017	0.932489	0.973568	0	0.000000
chrX	8	0.015873	0.968191	0.979879	1	0.002012
chrY	105	0.263158	0.663317	0.901024	0	0.000000
chrM	0	0.000000	1.000000	1.000000	0	0.000000
Average	348	0.031605	0.952940	0.983744	2	0.000188
