Sample	Method	Chrom    edit_dist  norm_edit_dist  pct_pairs_recovered  pct_pairs_correct  switch_err_count  switch_err_rate  ref_len     patched_len  pct_coverage  raw_bag_dist  norm_bag_dist  scaled_bag_dist  norm_scaled_bag_dist	pct_assembly_localized
NA12878	GPatch	chr1     9          0.017241        0.973129             0.990234           0                 0.000000         248387328   248387328    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr2     3          0.003109        0.993776             0.996878           0                 0.000000         242696752   242696752    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr3     1          0.001111        0.997775             0.998886           0                 0.000000         201105948   201105948    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr4     6          0.008596        0.985653             0.994211           0                 0.000000         193574945   193574945    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr5     9          0.008341        0.987941             0.996258           0                 0.000000         182045439   182045439    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr6     0          0.000000        1.000000             1.000000           0                 0.000000         172126628   172126628    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr7     1          0.002967        0.994048             0.997015           0                 0.000000         160567428   160567428    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr8     0          0.000000        1.000000             1.000000           0                 0.000000         146259331   146259331    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr9     25         0.028670        0.967853             0.996454           0                 0.000000         150617247   150617247    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr10    0          0.000000        1.000000             1.000000           0                 0.000000         134758134   134758134    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr11    2          0.007067        0.985816             0.992857           0                 0.000000         135127769   135127769    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr12    5          0.008929        0.985689             0.994585           0                 0.000000         133324548   133324548    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr13    7          0.044304        0.942675             0.986667           0                 0.000000         113566686   113566686    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr14    14         0.043478        0.947040             0.990228           0                 0.000000         101161492   101161492    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr15    22         0.119565        0.868852             0.987578           0                 0.000000         99753195    99753195     1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr16    1          0.004975        0.990000             0.994975           0                 0.000000         96330374    96330374     1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr17    1          0.002242        0.995506             0.997748           0                 0.000000         84276897    84276897     1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr18    11         0.046218        0.940928             0.986726           0                 0.000000         80542538    80542538     1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr19    0          0.000000        1.000000             1.000000           0                 0.000000         61707364    61707364     1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr20    0          0.000000        1.000000             1.000000           0                 0.000000         66210255    66210255     1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr21    1          0.009346        0.981132             0.990476           0                 0.000000         45090682    45090682     1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chr22    2          0.008403        0.983122             0.991489           0                 0.000000         51324926    51324926     1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chrX     3          0.005952        0.988072             0.994000           0                 0.000000         154259566   154259566    1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chrY     94         0.235589        0.701005             0.917763           0                 0.000000         62460029    62460029     1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	chrM     0          0.000000        1.000000             1.000000           0                 0.000000         16569       16569        1.000000      0             0.000000       0                0.000000	-1
NA12878	GPatch	All  217        0.019708        0.973967             0.993593           0                 0.000000         3117292070  3117292070   1.000000      0             0.000000       0                0.000000	0.9987
NA12878	RagTag	chr12_scf00000000  558        0.996429        0.001789             1.000000           0                 0.000000         133324548   35659        0.000267      133288889     0.999733       0                0.000000	-1
NA12878	RagTag	chr12_scf00000001  127        0.226786        0.754919             0.976852           0                 0.000000         133324548   98387683     0.737956      34936865      0.262044       0                0.000000	-1
NA12878	RagTag	chr12_scf00000002  472        0.842857        0.153846             0.988506           0                 0.000000         133324548   34704502     0.260301      98620046      0.739699       0                0.000000	-1
NA12878	RagTag	chr17_scf00000003  7          0.015695        0.973034             0.988584           0                 0.000000         84276897    84276897     1.000000      0             0.000000       0                0.000000	-1
NA12878	RagTag	chr9_scf00000004   71         0.081422        0.909300             0.988764           1                 0.001248         150617247   156608680    1.039779      5991433       0.038257       0                0.000000	-1
NA12878	RagTag	chr19_scf00000005  148        0.993289        0.000000             0.000000           69                0.500000         61707364    88507077     1.434303      26799713      0.302797       0                0.000000	-1
