chrom	ref_len	patched_len	pct_coverage	raw_bag_dist	norm_bag_dist	scaled_bag_dist	norm_scaled_bag_dist
chr1	248303033	248469522	1.000671	166489	0.000670	0	0.000000
chr2	242682604	242702596	1.000082	19992	0.000082	0	0.000000
chr3	201133763	201195939	1.000309	62176	0.000309	0	0.000000
chr4	193584405	193633846	1.000255	49441	0.000255	0	0.000000
chr5	182070823	182074179	1.000018	3356	0.000018	0	0.000000
chr6	172073104	172085976	1.000075	12872	0.000075	0	0.000000
chr7	160456980	160553192	1.000600	96212	0.000599	0	0.000000
chr8	146373631	146460320	1.000592	86689	0.000592	0	0.000000
chr9	150795486	150807489	1.000080	12450	0.000083	447	0.000003
chr10	134700637	134726850	1.000195	26213	0.000195	0	0.000000
chr11	135004585	135065845	1.000454	61260	0.000454	0	0.000000
chr12	133320220	133399087	1.000592	78867	0.000591	0	0.000000
chr13	113711932	113767211	1.000486	55279	0.000486	0	0.000000
chr14	101150501	101150501	1.000000	0	0.000000	0	0.000000
chr15	99794084	99883458	1.000896	89374	0.000895	0	0.000000
chr16	96372681	96404704	1.000332	32023	0.000332	0	0.000000
chr17	84359321	84405493	1.000547	46172	0.000547	0	0.000000
chr18	80456848	80551681	1.001179	94833	0.001177	0	0.000000
chr19	61734143	61754603	1.000331	20460	0.000331	0	0.000000
chr20	66261860	66257555	0.999935	5608	0.000085	1303	0.000020
chr21	45151202	45251928	1.002231	100726	0.002226	0	0.000000
chr22	51347199	51368413	1.000413	21214	0.000413	0	0.000000
chrX	154456228	154497993	1.000270	41765	0.000270	0	0.000000
chrY	62511559	62523962	1.000198	12403	0.000198	0	0.000000
chrM	21289	21289	1.000000	0	0.000000	0	0.000000
average	3117828118	3119013632	1.000380	1195874	0.000383	1750	0.000001
