chrom	ref_len	patched_len	pct_coverage	raw_bag_dist	norm_bag_dist	scaled_bag_dist	norm_scaled_bag_dist
chr1	248387328	248387328	1.000000	0	0.000000	0	0.000000
chr2	242696752	242696752	1.000000	0	0.000000	0	0.000000
chr3	201105948	201105948	1.000000	0	0.000000	0	0.000000
chr4	193574945	193574945	1.000000	0	0.000000	0	0.000000
chr5	182045439	182045439	1.000000	0	0.000000	0	0.000000
chr6	172126628	172126628	1.000000	0	0.000000	0	0.000000
chr7	160567428	160567428	1.000000	0	0.000000	0	0.000000
chr8	146259331	146259331	1.000000	0	0.000000	0	0.000000
chr9	150617247	150617247	1.000000	0	0.000000	0	0.000000
chr10	134758134	134758134	1.000000	0	0.000000	0	0.000000
chr11	135127769	135127769	1.000000	0	0.000000	0	0.000000
chr12	133324548	133324548	1.000000	0	0.000000	0	0.000000
chr13	113566686	113566686	1.000000	0	0.000000	0	0.000000
chr14	101161492	101161492	1.000000	0	0.000000	0	0.000000
chr15	99753195	99753195	1.000000	0	0.000000	0	0.000000
chr16	96330374	96330374	1.000000	0	0.000000	0	0.000000
chr17	84276897	84276897	1.000000	0	0.000000	0	0.000000
chr18	80542538	80542538	1.000000	0	0.000000	0	0.000000
chr19	61707364	61707364	1.000000	0	0.000000	0	0.000000
chr20	66210255	66210255	1.000000	0	0.000000	0	0.000000
chr21	45090682	45090682	1.000000	0	0.000000	0	0.000000
chr22	51324926	51324926	1.000000	0	0.000000	0	0.000000
chrX	154259566	154259566	1.000000	0	0.000000	0	0.000000
chrY	62460029	62460029	1.000000	0	0.000000	0	0.000000
chrM	16569	16569	1.000000	0	0.000000	0	0.000000
average	3117292070	3117292070	1.000000	0	0.000000	0	0.000000
