Chrom	edit_dist	norm_edit_dist	pct_pairs_recovered	pct_pairs_correct	switch_err_count	switch_err_rate
chr1	12	0.214286	0.672727	0.860465	0	0.000000
chr2	0	0.000000	1.000000	1.000000	0	0.000000
chr3	0	0.000000	1.000000	1.000000	0	0.000000
chr4	0	0.000000	1.000000	1.000000	0	0.000000
chr5	0	0.000000	1.000000	1.000000	0	0.000000
chr6	0	0.000000	1.000000	1.000000	0	0.000000
chr7	1	0.020000	0.979592	1.000000	0	0.000000
chr8	1	0.030303	0.937500	0.967742	0	0.000000
chr9	3	0.073171	0.875000	0.945946	0	0.000000
chr10	0	0.000000	1.000000	1.000000	0	0.000000
chr11	1	0.037037	0.923077	0.960000	0	0.000000
chr12	0	0.000000	1.000000	1.000000	0	0.000000
chr13	0	0.000000	1.000000	1.000000	0	0.000000
chr14	0	0.000000	1.000000	1.000000	0	0.000000
chr15	2	0.060606	0.875000	0.933333	0	0.000000
chr16	0	0.000000	1.000000	1.000000	0	0.000000
chr17	0	0.000000	1.000000	1.000000	0	0.000000
chr18	3	0.096774	0.800000	0.888889	0	0.000000
chr19	1	0.058824	0.937500	1.000000	0	0.000000
chr20	4	0.148148	0.769231	0.909091	0	0.000000
chr21	0	0.000000	1.000000	1.000000	0	0.000000
chr22	0	0.000000	1.000000	1.000000	0	0.000000
chrX	0	0.000000	1.000000	1.000000	0	0.000000
chrY	0	0.000000	1.000000	1.000000	0	0.000000
chrM	0	0.000000	0.000000	0.000000	0	0.000000
Average	28	0.038462	0.935989	0.974815	0	0.000000
