ref_chrom	ref_start	ref_end	ref_contig	ref_length	mapped_chrom	mapped_start	mapped_end	mapped_length	is_mapped	is_mapped_correctly	is_correct_orientation	is_correct_order	mapping_quality
chr1	0	30170	chr1_0	30170	chr1	0	30170	30170	True	True	True	True	60
chr1	30170	131896	chr1_1	101726	chr1	30170	131896	101726	True	True	True	True	60
chr1	131896	146528	chr1_2	14632	chr1	131896	146528	14632	True	True	True	True	60
chr1	146528	172223	chr1_3	25695	chr1	146528	172223	25695	True	True	True	True	60
chr1	172223	370940	chr1_4	198717	chr1	172223	370940	198717	True	True	True	True	60
chr1	370940	120392202	chr1_5	120021262	chr1	370940	120392202	120021262	True	True	True	True	60
chr1	120392202	120417321	chr1_6	25119	chr1	120392202	120417321	25119	True	True	True	True	60
chr1	120417321	120438323	chr1_7	21002	chr1	120417321	120438323	21002	True	True	True	True	60
chr1	120438323	120460646	chr1_8	22323	chr1	120438323	120460646	22323	True	True	True	True	60
chr1	120460646	120493674	chr1_9	33028	chr1	120460646	120493674	33028	True	True	True	True	60
chr1	120493674	135261008	chr1_10	14767334	chr1	120493674	135261008	14767334	True	True	True	True	60
chr1	135261008	135323087	chr1_11	62079	chr1	135261008	135323087	62079	True	True	True	True	28
chr1	135323087	135412253	chr1_12	89166	chr1	135323087	135412253	89166	True	True	True	True	30
chr1	135412253	135433255	chr1_13	21002	chr1	135412253	135433255	21002	True	True	True	True	28
chr1	135433255	135459240	chr1_14	25985	chr1	135433255	135459240	25985	True	True	True	True	25
chr1	135459240	135499489	chr1_15	40249	chr1	135459240	135499489	40249	True	True	True	True	40
chr1	135499489	135796848	chr1_16	297359	chr1	135499489	135796848	297359	True	True	True	True	60
chr1	135796848	135991075	chr1_17	194227	chr1	135796848	135991075	194227	True	True	True	True	43
chr1	135991075	136032566	chr1_18	41491	chr1	135991075	136032566	41491	True	True	True	True	26
chr1	136032566	136068093	chr1_19	35527	chr1	136032566	136068093	35527	True	True	True	True	10
chr1	136068093	136101580	chr1_20	33487	chr1	136068093	136101580	33487	True	True	True	True	24
chr1	136101580	137405784	chr1_21	1304204	chr1	136101580	137405784	1304204	True	True	True	True	60
chr1	137405784	137441507	chr1_22	35723	chr1	137405784	137441507	35723	True	True	True	True	34
chr1	137441507	137471677	chr1_23	30170	chr1	137441507	137471677	30170	True	True	True	True	37
chr1	137471677	137574610	chr1_24	102933	.	.	.	.	False	False	False	False	6
chr1	137574610	137591777	chr1_25	17167	.	.	.	.	False	False	False	False	2
chr1	137591777	137837231	chr1_26	245454	chr1	137591777	137837231	245454	True	True	True	True	19
