chrom	ref_len	patched_len	pct_coverage	raw_bag_dist	norm_bag_dist	scaled_bag_dist	norm_scaled_bag_dist
chr12_scf00000000	133324548	133297401	0.999796	27147	0.000204	0	0.000000
chr14_scf00000001	101161492	69923692	0.691209	31237800	0.308791	0	0.000000
chr15_scf00000002	99753195	193626720	1.941058	93873525	0.484817	0	0.000000
chr16_scf00000003	96330374	96330374	1.000000	0	0.000000	0	0.000000
chr19_scf00000004	61707364	262599241	4.255558	200891877	0.765013	0	0.000000
chr20_scf00000005	66210255	66116662	0.998586	438746	0.006627	345153	0.005213
chr22_scf00000006	51324926	51257426	0.998685	182234	0.003551	114734	0.002235
chr2_scf00000007	242696752	242696752	1.000000	0	0.000000	0	0.000000
chr5_scf00000008	182045439	182045439	1.000000	0	0.000000	0	0.000000
chr9_scf00000009	150617247	150617247	1.000000	0	0.000000	0	0.000000
chrX_scf00000010	154259566	154259566	1.000000	0	0.000000	0	0.000000
chrY_scf00000011	62460029	62460029	1.000000	0	0.000000	0	0.000000
average	1401891187	1665230549	1.187846	326651329	0.192526	459887	0.000271
