Chrom	edit_dist	norm_edit_dist	pct_pairs_recovered	pct_pairs_correct	switch_err_count	switch_err_rate
chr12_scf00000000	558	0.996429	0.001789	1.000000	0	0.000000
chr12_scf00000001	127	0.226786	0.754919	0.976852	0	0.000000
chr12_scf00000002	472	0.842857	0.153846	0.988506	0	0.000000
chr17_scf00000003	7	0.015695	0.973034	0.988584	0	0.000000
chr9_scf00000004	71	0.081422	0.909300	0.988764	1	0.001248
chr19_scf00000005	148	0.993289	0.000000	0.000000	69	0.500000
chr8_scf00000006	17	0.023876	0.970464	0.992806	1	0.001439
chr5_scf00000007	917	0.849861	0.147495	0.987578	0	0.000000
chr5_scf00000008	1078	0.999073	0.000000	0.000000	437	0.500000
chr5_scf00000009	1074	0.995366	0.001855	0.500000	0	0.000000
chr6_scf00000010	2	0.003086	0.993818	0.996899	0	0.000000
chr8_scf00000011	702	0.985955	0.012658	1.000000	0	0.000000
chrX_scf00000012	499	0.990079	0.003976	0.333333	1	0.166667
chrX_scf00000013	503	0.998016	0.000000	0.000000	115	0.500000
chrX_scf00000014	297	0.589286	0.407555	0.995146	0	0.000000
Average	6472	0.649278	0.346026	0.728580	624	0.132008
