Chrom	edit_dist	norm_edit_dist	pct_pairs_recovered	pct_pairs_correct	switch_err_count	switch_err_rate
chr1	9	0.017241	0.973129	0.990234	0	0.000000
chr2	3	0.003109	0.993776	0.996878	0	0.000000
chr3	1	0.001111	0.997775	0.998886	0	0.000000
chr4	6	0.008596	0.985653	0.994211	0	0.000000
chr5	9	0.008341	0.987941	0.996258	0	0.000000
chr6	0	0.000000	1.000000	1.000000	0	0.000000
chr7	1	0.002967	0.994048	0.997015	0	0.000000
chr8	0	0.000000	1.000000	1.000000	0	0.000000
chr9	25	0.028670	0.967853	0.996454	0	0.000000
chr10	0	0.000000	1.000000	1.000000	0	0.000000
chr11	2	0.007067	0.985816	0.992857	0	0.000000
chr12	5	0.008929	0.985689	0.994585	0	0.000000
chr13	7	0.044304	0.942675	0.986667	0	0.000000
chr14	14	0.043478	0.947040	0.990228	0	0.000000
chr15	22	0.119565	0.868852	0.987578	0	0.000000
chr16	1	0.004975	0.990000	0.994975	0	0.000000
chr17	1	0.002242	0.995506	0.997748	0	0.000000
chr18	11	0.046218	0.940928	0.986726	0	0.000000
chr19	0	0.000000	1.000000	1.000000	0	0.000000
chr20	0	0.000000	1.000000	1.000000	0	0.000000
chr21	1	0.009346	0.981132	0.990476	0	0.000000
chr22	2	0.008403	0.983122	0.991489	0	0.000000
chrX	3	0.005952	0.988072	0.994000	0	0.000000
chrY	94	0.235589	0.701005	0.917763	0	0.000000
chrM	0	0.000000	1.000000	1.000000	0	0.000000
Average	217	0.019708	0.973967	0.993593	0	0.000000
