chrom	ref_len	patched_len	pct_coverage	raw_bag_dist	norm_bag_dist	scaled_bag_dist	norm_scaled_bag_dist
chr1	248325669	248769545	1.001787	443876	0.001784	0	0.000000
chr2	242964926	243556660	1.002435	591734	0.002430	0	0.000000
chr3	201208137	201859987	1.003240	651850	0.003229	0	0.000000
chr4	193645505	194140086	1.002554	494581	0.002548	0	0.000000
chr5	182311240	182977163	1.003653	665923	0.003639	0	0.000000
chr6	172255814	172697260	1.002563	441446	0.002556	0	0.000000
chr7	160607215	160798570	1.001191	191355	0.001190	0	0.000000
chr8	146224291	146646948	1.002890	422657	0.002882	0	0.000000
chr9	150607866	151277463	1.004446	669597	0.004426	0	0.000000
chr10	134909775	135107042	1.001462	197267	0.001460	0	0.000000
chr11	135150854	135389744	1.001768	238890	0.001764	0	0.000000
chr12	133132090	133518739	1.002904	386649	0.002896	0	0.000000
chr13	113628216	113715313	1.000767	87097	0.000766	0	0.000000
chr14	101129989	101277146	1.001455	147157	0.001453	0	0.000000
chr15	99899357	100047882	1.001487	148525	0.001485	0	0.000000
chr16	96322547	96475852	1.001592	153305	0.001589	0	0.000000
chr17	84202237	84543785	1.004056	341548	0.004040	0	0.000000
chr18	80566355	80700843	1.001669	134488	0.001667	0	0.000000
chr19	61639766	61740457	1.001634	100691	0.001631	0	0.000000
chr20	66261710	66381767	1.001812	120057	0.001809	0	0.000000
chr21	45180637	45221381	1.000902	40744	0.000901	0	0.000000
chr22	51435658	51553972	1.002300	118314	0.002295	0	0.000000
chrX	154126113	154447384	1.002084	321271	0.002080	0	0.000000
chrY	62416369	62777923	1.005793	361554	0.005759	0	0.000000
chrM	9433	16569	1.756493	7136	0.430684	0	0.000000
average	3118161769	3125639481	1.002398	7477712	0.002392	0	0.000000
