ref_chrom	ref_start	ref_end	ref_contig	ref_length	mapped_chrom	mapped_start	mapped_end	mapped_length	is_mapped	is_mapped_correctly	is_correct_orientation	is_correct_order	mapping_quality
chr1	0	30170	chr1_0	30170	.	.	.	.	False	False	False	False	.
chr1	30170	131896	chr1_1	101726	.	.	.	.	False	False	False	False	.
chr1	131896	146528	chr1_2	14632	.	.	.	.	False	False	False	False	.
chr1	146528	172223	chr1_3	25695	.	.	.	.	False	False	False	False	.
chr1	172223	370940	chr1_4	198717	.	.	.	.	False	False	False	False	.
chr1	370940	120392202	chr1_5	120021262	.	.	.	.	False	False	False	False	.
chr1	120392202	120417321	chr1_6	25119	.	.	.	.	False	False	False	False	.
chr1	120417321	120438323	chr1_7	21002	.	.	.	.	False	False	False	False	.
chr1	120438323	120460646	chr1_8	22323	.	.	.	.	False	False	False	False	.
chr1	120460646	120493674	chr1_9	33028	.	.	.	.	False	False	False	False	.
chr1	120493674	135261008	chr1_10	14767334	.	.	.	.	False	False	False	False	.
chr1	135261008	135323087	chr1_11	62079	.	.	.	.	False	False	False	False	.
chr1	135323087	135412253	chr1_12	89166	.	.	.	.	False	False	False	False	.
chr1	135412253	135433255	chr1_13	21002	.	.	.	.	False	False	False	False	.
chr1	135433255	135459240	chr1_14	25985	.	.	.	.	False	False	False	False	.
chr1	135459240	135499489	chr1_15	40249	.	.	.	.	False	False	False	False	.
chr1	135499489	135796848	chr1_16	297359	.	.	.	.	False	False	False	False	.
chr1	135796848	135991075	chr1_17	194227	.	.	.	.	False	False	False	False	.
chr1	135991075	136032566	chr1_18	41491	.	.	.	.	False	False	False	False	.
chr1	136032566	136068093	chr1_19	35527	.	.	.	.	False	False	False	False	.
chr1	136068093	136101580	chr1_20	33487	.	.	.	.	False	False	False	False	.
chr1	136101580	137405784	chr1_21	1304204	.	.	.	.	False	False	False	False	.
chr1	137405784	137441507	chr1_22	35723	.	.	.	.	False	False	False	False	.
chr1	137441507	137471677	chr1_23	30170	.	.	.	.	False	False	False	False	.
chr1	137471677	137574610	chr1_24	102933	.	.	.	.	False	False	False	False	.
chr1	137574610	137591777	chr1_25	17167	.	.	.	.	False	False	False	False	.
chr1	137591777	137837231	chr1_26	245454	.	.	.	.	False	False	False	False	.
