Chrom	edit_dist	norm_edit_dist	pct_pairs_recovered	pct_pairs_correct	switch_err_count	switch_err_rate
chr12_scf00000000	1	0.023810	0.975610	1.000000	0	0.000000
chr14_scf00000001	37	5.285714	0.000000	0.000000	0	0.000000
chr15_scf00000002	41	1.242424	0.000000	0.000000	0	0.000000
chr16_scf00000003	0	0.000000	1.000000	1.000000	0	0.000000
chr19_scf00000004	69	4.058824	0.000000	0.000000	34	0.500000
chr20_scf00000005	26	0.962963	0.000000	0.000000	10	0.500000
chr22_scf00000006	14	0.933333	0.000000	0.000000	6	0.545455
chr2_scf00000007	0	0.000000	1.000000	1.000000	0	0.000000
chr5_scf00000008	0	0.000000	1.000000	1.000000	0	0.000000
chr9_scf00000009	2	0.048780	0.900000	0.947368	0	0.000000
chrX_scf00000010	0	0.000000	1.000000	1.000000	0	0.000000
chrY_scf00000011	2	0.166667	0.727273	0.888889	0	0.000000
Average	192	0.719101	0.600000	0.459459	50	0.151652
