Chrom	edit_dist	norm_edit_dist	pct_pairs_recovered	pct_pairs_correct	switch_err_count	switch_err_rate
chr1	3	0.053571	0.909091	0.961538	0	0.000000
chr2	0	0.000000	1.000000	1.000000	0	0.000000
chr3	0	0.000000	1.000000	1.000000	0	0.000000
chr4	0	0.000000	1.000000	1.000000	0	0.000000
chr5	0	0.000000	1.000000	1.000000	0	0.000000
chr6	0	0.000000	1.000000	1.000000	0	0.000000
chr7	0	0.000000	1.000000	1.000000	0	0.000000
chr8	1	0.030303	0.937500	0.967742	0	0.000000
chr9	3	0.073171	0.875000	0.945946	0	0.000000
chr10	0	0.000000	1.000000	1.000000	0	0.000000
chr11	0	0.000000	1.000000	1.000000	0	0.000000
chr12	0	0.000000	1.000000	1.000000	0	0.000000
chr13	0	0.000000	1.000000	1.000000	0	0.000000
chr14	0	0.000000	1.000000	1.000000	0	0.000000
chr15	1	0.030303	0.937500	0.967742	0	0.000000
chr16	0	0.000000	1.000000	1.000000	0	0.000000
chr17	0	0.000000	1.000000	1.000000	0	0.000000
chr18	0	0.000000	1.000000	1.000000	0	0.000000
chr19	0	0.000000	1.000000	1.000000	0	0.000000
chr20	2	0.074074	0.884615	0.958333	0	0.000000
chr21	0	0.000000	1.000000	1.000000	0	0.000000
chr22	0	0.000000	1.000000	1.000000	0	0.000000
chrX	0	0.000000	1.000000	1.000000	0	0.000000
chrY	0	0.000000	1.000000	1.000000	0	0.000000
chrM	0	0.000000	0.000000	0.000000	0	0.000000
Average	10	0.013736	0.975818	0.989899	0	0.000000
