ref_chrom	ref_start	ref_end	ref_contig	ref_length	mapped_chrom	mapped_start	mapped_end	mapped_length	is_mapped	is_mapped_correctly	is_correct_orientation	is_correct_order	mapping_quality
chr1	0	2135309	chr1_0	2135309	chr1	0	2135309	2135309	True	True	True	True	60
chr1	2135309	2148394	chr1_1	13085	chr1	2135309	2148394	13085	True	True	True	True	60
chr1	2148394	2167344	chr1_2	18950	chr1	2148394	2167344	18950	True	True	True	True	60
chr1	2167344	2188789	chr1_3	21445	chr1	2167344	2188789	21445	True	True	True	True	60
chr1	2188789	2199540	chr1_4	10751	chr1	2188789	2199540	10751	True	True	True	True	60
chr1	2199540	2215408	chr1_5	15868	chr1	2199540	2215408	15868	True	True	True	True	60
chr1	2215408	2231581	chr1_6	16173	chr1	2215408	2231581	16173	True	True	True	True	60
chr1	2231581	2251332	chr1_7	19751	chr1	2231581	2251332	19751	True	True	True	True	60
chr1	2251332	2266828	chr1_8	15496	chr1	2251332	2266828	15496	True	True	True	True	60
chr1	2266828	8478582	chr1_9	6211754	chr1	2266828	8478582	6211754	True	True	True	True	60
chr1	8478582	8489772	chr1_10	11190	chr1	8478582	8489772	11190	True	True	True	True	60
chr1	8489772	8576847	chr1_11	87075	chr1	8489772	8576847	87075	True	True	True	True	60
chr1	8576847	8594020	chr1_12	17173	chr1	8576847	8594020	17173	True	True	True	True	60
chr1	8594020	8608878	chr1_13	14858	chr1	8594020	8608878	14858	True	True	True	True	60
chr1	8608878	8634544	chr1_14	25666	chr1	8608878	8634544	25666	True	True	True	True	60
chr1	8634544	8936745	chr1_15	302201	chr1	8634544	8936745	302201	True	True	True	True	60
chr1	8936745	8947968	chr1_16	11223	chr1	8936745	8947968	11223	True	True	True	True	60
chr1	8947968	8987324	chr1_17	39356	chr1	8947968	8987324	39356	True	True	True	True	60
chr1	8987324	8999144	chr1_18	11820	chr1	8987324	8999144	11820	True	True	True	True	60
chr1	8999144	9013944	chr1_19	14800	chr1	8999144	9013944	14800	True	True	True	True	60
chr1	9013944	9025578	chr1_20	11634	chr1	9013944	9025578	11634	True	True	True	True	60
chr1	9025578	9041879	chr1_21	16301	chr1	9025578	9041879	16301	True	True	True	True	60
chr1	9041879	9055508	chr1_22	13629	chr1	9041879	9055508	13629	True	True	True	True	60
chr1	9055508	9358087	chr1_23	302579	chr1	9055508	9358087	302579	True	True	True	True	60
chr1	9358087	9371274	chr1_24	13187	chr1	9358087	9371274	13187	True	True	True	True	60
chr1	9371274	9382711	chr1_25	11437	chr1	9371274	9382711	11437	True	True	True	True	60
chr1	9382711	9397927	chr1_26	15216	chr1	9382711	9397927	15216	True	True	True	True	60
chr1	9397927	9427560	chr1_27	29633	chr1	9397927	9427560	29633	True	True	True	True	60
chr1	9427560	9600458	chr1_28	172898	chr1	9427560	9600458	172898	True	True	True	True	60
