chrom	ref_len	patched_len	pct_coverage	raw_bag_dist	norm_bag_dist	scaled_bag_dist	norm_scaled_bag_dist
chr12_scf00000000	133324548	35659	0.000267	133288889	0.999733	0	0.000000
chr12_scf00000001	133324548	98387683	0.737956	34936865	0.262044	0	0.000000
chr12_scf00000002	133324548	34704502	0.260301	98620046	0.739699	0	0.000000
chr17_scf00000003	84276897	84276897	1.000000	0	0.000000	0	0.000000
chr9_scf00000004	150617247	156608680	1.039779	5991433	0.038257	0	0.000000
chr19_scf00000005	61707364	88507077	1.434303	26799713	0.302797	0	0.000000
chr8_scf00000006	146259331	188577248	1.289335	42317917	0.224406	0	0.000000
chr5_scf00000007	182045439	48453400	0.266161	133592039	0.733839	0	0.000000
chr5_scf00000008	182045439	133235051	0.731878	48810388	0.268122	0	0.000000
chr5_scf00000009	182045439	118854	0.000653	181926585	0.999347	0	0.000000
chr6_scf00000010	172126628	172126628	1.000000	0	0.000000	0	0.000000
chr8_scf00000011	146259331	198589	0.001358	146060742	0.998642	0	0.000000
chrX_scf00000012	154259566	100205	0.000650	154159361	0.999350	0	0.000000
chrX_scf00000013	154259566	48954044	0.317349	105305522	0.682651	0	0.000000
chrX_scf00000014	154259566	106452133	0.690084	47807433	0.309916	0	0.000000
average	2170135457	1160736650	0.534868	1159616933	0.516477	0	0.000000
